Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Commission,Placing time,Closing time,Order ID,Leverage,Margin
OANDA:AUDJPY,Sell,Stop,1000,,112.961,,Cancelled,,2026-06-22 21:40:12,2026-06-22 21:40:19,3210489308,,
OANDA:AUDJPY,Buy,Limit,1000,113.141,,113.115,Filled,,2026-06-22 21:40:12,2026-06-22 21:40:12,3210489307,50:1,13.93 USD
OANDA:EURAUD,Sell,Limit,1000,1.63516,,1.63516,Filled,,2026-06-22 21:37:29,2026-06-23 02:22:14,3210482277,,
OANDA:EURAUD,Sell,Stop,1000,,1.63156,,Cancelled,,2026-06-22 21:37:29,2026-06-23 02:22:14,3210482276,,
OANDA:EURAUD,Buy,Stop,1000,,1.63336,1.63339,Filled,,2026-06-22 21:37:29,2026-06-23 01:14:23,3210482275,50:1,22.52 USD
OANDA:EURCHF,Buy,Limit,1000,0.9245,,0.9245,Filled,,2026-06-22 06:22:52,2026-06-22 17:00:18,3206874478,,
OANDA:EURCHF,Buy,Stop,1000,,0.9266,,Cancelled,,2026-06-22 06:22:52,2026-06-22 17:00:18,3206874477,,
OANDA:EURCHF,Sell,Stop,1000,,0.92555,0.92555,Filled,,2026-06-22 06:22:52,2026-06-22 08:09:26,3206874476,50:1,22.88 USD
OANDA:USDCAD,Buy,Limit,1000,1.40571,,,Cancelled,,2026-06-18 14:50:39,2026-06-18 19:08:17,3196917216,,
OANDA:USDCAD,Buy,Stop,1000,,1.41357,,Cancelled,,2026-06-18 14:50:39,2026-06-18 19:08:17,3196917215,,
OANDA:USDCAD,Sell,Stop,1000,,1.40964,,Cancelled,,2026-06-18 14:50:39,2026-06-18 19:08:17,3196917214,50:1,
FOREXCOM:NATURALGAS,Sell,Limit,1,3277.8,,,Cancelled,,2026-06-18 14:49:25,2026-06-19 09:00:16,3196912910,,
FOREXCOM:NATURALGAS,Sell,Stop,1,,3217.8,3217.7,Filled,,2026-06-18 14:49:25,2026-06-19 09:00:16,3196912909,,
FOREXCOM:NATURALGAS,Buy,Stop,1,,3210.9,3211,Filled,,2026-06-18 14:49:25,2026-06-18 17:05:17,3196912908,50:1,64.22 USD
OANDA:CADJPY,Sell,Limit,10000,114.228,,114.232,Filled,,2026-06-18 14:36:36,2026-06-18 20:38:59,3196867354,,
OANDA:CADJPY,Sell,Stop,10000,,113.783,,Cancelled,,2026-06-18 14:36:36,2026-06-18 20:38:59,3196867353,,
OANDA:CADJPY,Buy,Stop,10000,,114.01,114.012,Filled,,2026-06-18 14:36:36,2026-06-18 17:58:43,3196867352,50:1,140.32 USD
OANDA:NZDCHF,Buy,Limit,10000,0.462,,,Cancelled,,2026-06-18 13:18:25,2026-06-18 13:57:05,3196629468,,
OANDA:NZDCHF,Buy,Stop,10000,,0.46317,,Cancelled,,2026-06-18 13:18:25,2026-06-18 13:57:05,3196629467,,
OANDA:NZDCHF,Sell,Stop,10000,,0.46257,,Cancelled,,2026-06-18 13:18:25,2026-06-18 13:57:05,3196629466,50:1,
